# label,index_bend,index_tip_dist,middle_bend,middle_tip_dist,ring_bend,ring_tip_dist,pinky_bend,pinky_tip_dist
F,0.9447,3.3504,0.8666,2.5885,0.9916,2.8725,0.9459,2.7636
F,0.9555,3.4215,0.8926,2.5436,0.9761,2.7851,0.9045,2.6796
F,0.9521,3.6511,0.8976,2.7305,0.9825,2.9766,0.9114,2.8590
F,0.9521,3.3928,0.9382,2.5871,0.9639,2.8299,0.8944,2.6763
F,0.9485,3.2506,0.9113,2.5135,0.9720,2.6946,0.8982,2.5964
F,0.9513,3.1672,0.9013,2.4332,0.9685,2.6138,0.8982,2.5382
F,0.9318,3.2895,0.8816,2.5537,0.9857,2.7206,0.8982,2.6152
F,0.9513,3.2707,0.8981,2.5154,0.9699,2.7206,0.9034,2.5972
F,0.9556,3.2834,0.8920,2.5183,0.9717,2.7277,0.9021,2.6219
F,0.9430,3.2198,0.8981,2.4862,0.9743,2.6498,0.9021,2.5624
G,0.9921,2.9004,0.9855,2.9710,0.9274,2.5980,0.9314,2.2903
G,0.9787,3.7293,0.9828,3.8385,0.9233,3.3550,0.9076,3.1000
G,0.9645,3.0671,0.9561,3.5453,0.8545,2.7641,0.8618,2.6320
G,0.9685,3.4595,0.9624,4.2195,0.8149,3.3191,0.8618,3.2026
G,0.9563,3.2542,0.9824,4.0797,0.8453,3.1578,0.8953,3.0762
G,0.9628,3.2441,0.9733,3.9856,0.8144,3.1120,0.8369,2.9857
G,0.9522,3.5466,0.9623,4.4779,0.8040,3.4188,0.8524,3.3340
G,0.9015,3.5712,0.9634,4.5384,0.7742,3.3994,0.8128,3.2772
G,0.9119,3.5058,0.9773,4.2752,0.8117,3.2610,0.8266,3.0865
G,0.9157,3.7122,0.9686,4.5630,0.8599,3.5118,0.8688,3.4128
G,0.9264,3.5479,0.9710,4.5588,0.8393,3.4764,0.8584,3.3993
G,0.9160,3.4970,0.9740,4.4334,0.8206,3.3841,0.8597,3.3000
G,0.9405,3.8516,0.9601,4.8812,0.8044,3.6625,0.8326,3.5785
G,0.9250,3.8242,0.9700,4.4846,0.7495,3.1763,0.7802,3.1152
G,0.8828,3.2284,0.9804,3.7817,0.8699,2.5870,0.7979,2.3062
G,0.8825,4.5718,0.9687,5.4198,0.9954,3.5368,0.9474,3.0125
G,0.8897,6.2275,0.9716,7.3183,0.9939,4.9132,0.9175,4.6742
G,0.8602,3.6349,0.9571,4.2884,0.9873,2.8281,0.9253,2.8744
G,0.8405,3.3267,0.9540,3.9910,0.9428,2.6380,0.8902,2.6835
G,0.8520,3.7192,0.9742,4.3342,0.9600,2.9813,0.8842,2.9503
G,0.8579,3.2005,0.9818,3.7754,0.8698,2.8235,0.8767,2.7606
G,0.8478,3.2537,0.9875,3.8835,0.8944,3.1329,0.9094,2.9484
G,0.8567,3.1267,0.9955,3.5925,0.9202,2.8699,0.8915,2.6847
G,0.8840,2.9209,0.9838,3.4235,0.8430,2.6945,0.8403,2.5162
G,0.8869,2.8767,0.9782,3.3452,0.8461,2.6486,0.8441,2.4304
G,0.8727,3.3498,0.9765,4.0443,0.8556,3.1746,0.8520,2.9575
G,0.8946,3.6563,0.9884,4.3198,0.8386,3.3526,0.8425,3.1959
G,0.9140,3.9334,0.9986,4.7067,0.8725,3.6572,0.8572,3.4441
G,0.9289,4.5280,0.9891,5.4944,0.8566,4.1252,0.8477,3.8438
G,0.8997,4.1045,0.9991,4.8200,0.8702,3.6040,0.8641,3.3806
G,0.8714,3.8062,0.9886,4.6434,0.8744,3.4903,0.8734,3.3805
G,0.8840,3.3766,0.9944,4.1021,0.8719,3.2576,0.8696,3.0773
G,0.8500,3.7322,0.9956,4.2992,0.8658,3.3110,0.8572,3.0825
G,0.8638,3.1003,0.9766,3.5786,0.8308,2.5323,0.7784,2.2240
G,0.8862,2.6728,0.9983,3.1341,0.8090,2.3376,0.8022,2.0151
G,0.8628,2.6691,0.9917,3.1471,0.8187,2.3541,0.8231,2.0271
G,0.8427,2.6494,0.9795,3.1165,0.8312,2.3462,0.8231,1.9974
G,0.8569,2.6523,0.9822,3.1338,0.8614,2.3889,0.8487,2.0782
G,0.8136,2.9996,0.9711,3.5696,0.8596,2.6303,0.8128,2.3464
G,0.8149,5.1042,0.9861,6.2822,0.8291,4.2509,0.7532,3.8643
G,0.8200,4.1190,0.9815,5.0510,0.8686,3.6728,0.7950,3.2653
G,0.8298,3.8873,0.9911,4.7321,0.8416,3.4041,0.7687,3.1282
